measured_on,poa_irradiance_o_149574
2024-03-05 16:45:00,122.6
2024-03-05 16:50:00,111.0
2024-03-05 16:55:00,88.7
2024-03-05 17:00:00,100.6
2024-03-05 17:05:00,88.4
2024-03-05 17:10:00,91.4
2024-03-05 17:15:00,97.4
2024-03-05 17:20:00,90.4
2024-03-05 17:25:00,81.7
2024-03-05 17:30:00,67.2
2024-03-05 17:35:00,52.7
2024-03-05 17:40:00,28.8
2024-03-05 17:45:00,19.2
2024-03-05 17:50:00,11.0
2024-03-05 17:55:00,4.9
2024-03-05 18:00:00,2.8
2024-03-05 18:05:00,0.2999999999999999
2024-03-05 18:10:00,0.0
2024-03-05 18:15:00,0.0
2024-03-05 18:20:00,0.0
2024-03-05 18:25:00,0.0
2024-03-05 18:30:00,0.0
2024-03-05 18:35:00,0.0
2024-03-05 18:40:00,0.0
2024-03-05 18:45:00,0.0
2024-03-05 18:50:00,0.0
2024-03-05 19:00:00,0.0
2024-03-05 19:05:00,0.0
2024-03-05 19:10:00,0.0
2024-03-05 19:30:00,0.0
2024-03-05 19:50:00,0.0
2024-03-05 19:55:00,0.0
2024-03-05 20:00:00,0.0
2024-03-05 20:05:00,0.0
2024-03-05 20:10:00,0.0
2024-03-05 20:20:00,0.0
2024-03-05 20:25:00,0.0
2024-03-05 20:30:00,0.0
2024-03-05 20:35:00,0.0
2024-03-05 20:40:00,0.0
2024-03-05 20:45:00,0.0
2024-03-05 21:05:00,0.0
2024-03-05 21:10:00,0.0
2024-03-05 21:20:00,0.0
2024-03-05 21:35:00,0.0
2024-03-05 21:45:00,0.0
2024-03-05 21:55:00,0.0
2024-03-05 22:00:00,0.0
2024-03-05 22:20:00,0.0
2024-03-05 22:40:00,0.0
2024-03-05 22:45:00,0.0
2024-03-05 22:50:00,0.0
2024-03-05 23:00:00,0.0
2024-03-05 23:20:00,0.0
2024-03-05 23:25:00,0.0
2024-03-05 23:30:00,0.0
2024-03-05 23:50:00,0.0
2024-03-06 00:10:00,0.0
2024-03-06 00:30:00,0.0
2024-03-06 00:35:00,0.0
2024-03-06 00:40:00,0.0
2024-03-06 00:50:00,0.0
2024-03-06 01:05:00,0.0
2024-03-06 01:10:00,0.0
