event_id,inv_id,timestamp_debut,timestamp_fin,duree_minutes,peak_error,dtw_distance,mean_error,gradient_montee,gradient_descente
180,1,2019-02-04 09:25,2019-02-04 09:35,15,0.0589,0.0,0.0412,0.05,-0.03
181,1,2019-02-04 11:25,2019-02-04 12:05,45,0.1784,0.0,0.1249,0.05,-0.03
182,1,2019-02-04 12:40,2019-02-04 17:05,270,0.7548,0.0,0.5284,0.05,-0.03
183,1,2019-02-20 09:10,2019-02-20 10:20,75,0.3342,0.0,0.2339,0.05,-0.03
184,1,2019-02-20 12:20,2019-02-20 12:30,15,0.8513,0.0,0.5959,0.05,-0.03
185,1,2019-02-20 15:25,2019-02-20 16:30,70,0.3393,0.0,0.2375,0.05,-0.03
186,1,2019-03-06 07:20,2019-03-06 07:35,20,0.1139,0.0,0.0797,0.05,-0.03
187,1,2019-03-06 08:10,2019-03-06 08:35,30,0.3217,0.0,0.2252,0.05,-0.03
188,1,2019-03-06 09:10,2019-03-06 11:30,145,0.5476,0.0,0.3833,0.05,-0.03
189,1,2019-03-06 12:05,2019-03-06 14:35,155,0.4279,0.0,0.2995,0.05,-0.03
190,1,2019-03-06 15:50,2019-03-06 17:20,95,0.2389,0.0,0.1672,0.05,-0.03
191,1,2019-03-15 07:00,2019-03-15 07:50,55,0.0919,0.0,0.0643,0.05,-0.03
192,1,2019-03-15 13:10,2019-03-15 15:30,145,0.8712,0.0,0.6098,0.05,-0.03
193,1,2019-03-15 18:45,2019-03-15 19:35,55,0.1047,0.0,0.0733,0.05,-0.03
194,1,2019-03-16 07:00,2019-03-16 07:50,55,0.0904,0.0,0.0633,0.05,-0.03
195,1,2019-03-16 11:25,2019-03-16 12:55,95,0.7339,0.0,0.5137,0.05,-0.03
196,1,2019-03-16 13:35,2019-03-16 14:00,30,0.8322,0.0,0.5825,0.05,-0.03
197,1,2019-03-16 14:55,2019-03-16 15:05,15,0.7665,0.0,0.5366,0.05,-0.03
198,1,2019-03-17 06:15,2019-03-17 08:30,140,0.2247,0.0,0.1573,0.05,-0.03
199,1,2019-03-17 11:25,2019-03-17 15:15,235,0.4462,0.0,0.3123,0.05,-0.03
200,1,2019-03-17 18:40,2019-03-17 19:50,75,0.1641,0.0,0.1149,0.05,-0.03
201,1,2019-03-18 14:00,2019-03-18 14:35,40,0.8538,0.0,0.5977,0.05,-0.03
202,1,2019-03-18 18:25,2019-03-18 18:35,15,0.0729,0.0,0.051,0.05,-0.03
203,1,2019-03-21 07:20,2019-03-21 07:40,25,0.0608,0.0,0.0426,0.05,-0.03
204,1,2019-03-21 09:15,2019-03-21 09:25,15,0.1582,0.0,0.1107,0.05,-0.03
205,1,2019-03-21 11:45,2019-03-21 12:15,35,0.5283,0.0,0.3698,0.05,-0.03
206,1,2019-03-21 14:50,2019-03-21 15:00,15,0.0691,0.0,0.0484,0.05,-0.03
207,1,2019-03-21 16:45,2019-03-21 17:10,30,0.4428,0.0,0.31,0.05,-0.03
208,1,2019-03-23 07:05,2019-03-23 13:45,405,0.6633,0.0,0.4643,0.05,-0.03
209,1,2019-03-23 14:25,2019-03-23 15:35,75,0.695,0.0,0.4865,0.05,-0.03
210,1,2019-03-23 16:15,2019-03-23 17:50,100,0.1455,0.0,0.1018,0.05,-0.03
211,1,2019-03-24 10:05,2019-03-24 10:15,15,0.0938,0.0,0.0657,0.05,-0.03
212,1,2019-03-24 13:10,2019-03-24 14:05,60,0.8098,0.0,0.5669,0.05,-0.03
213,1,2019-03-24 15:10,2019-03-24 15:20,15,0.1336,0.0,0.0935,0.05,-0.03
214,1,2019-03-24 17:55,2019-03-24 18:05,15,0.0512,0.0,0.0358,0.05,-0.03
215,1,2019-03-26 06:55,2019-03-26 07:20,30,0.0692,0.0,0.0484,0.05,-0.03
216,1,2019-03-26 09:45,2019-03-26 14:55,315,0.6235,0.0,0.4364,0.05,-0.03
217,1,2019-03-26 15:45,2019-03-26 16:20,40,0.226,0.0,0.1582,0.05,-0.03
218,1,2019-03-27 07:00,2019-03-27 07:10,15,0.0513,0.0,0.0359,0.05,-0.03
219,1,2019-03-27 08:50,2019-03-27 09:10,25,0.0922,0.0,0.0645,0.05,-0.03
220,1,2019-03-27 10:45,2019-03-27 12:40,120,0.7727,0.0,0.5409,0.05,-0.03
221,1,2019-03-27 14:20,2019-03-27 16:25,130,0.8006,0.0,0.5604,0.05,-0.03
222,1,2019-03-27 17:20,2019-03-27 18:15,60,0.397,0.0,0.2779,0.05,-0.03
